date,desc,amount,cat,Debits and credits,Balance
25/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-95.23,Personal - Groceries,($95.23),"$6,399.66 "
25/6/20,Purchase BREADFERN PTY LTD REDFERN,-12.0,Personal - Groceries,($12.00),"$6,494.89 "
25/6/20,ABDULS RESTAURANT SURRY HILLS AUS,-13.5,Personal - Lunch,($13.50),0
24/6/20,Transfer to Ming Wang BSB 112879 Account 120116307 RCPT: 3XWHMTLHGWZ5GXSJ 48 Douglas St,-180.0,Expense - Cleaners,($180.00),"$6,506.89 "
24/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-28.55,Personal - Groceries,($28.55),"$6,686.89 "
24/6/20,Purchase 2108 ESPRESSO PALM BEACH NSW,-11.3,Personal - Coffee,($11.30),"$6,715.44 "
24/6/20,Purchase MEETUP ORG SUB 6M 6468384815 NY (transaction amount 108.83 USD),-159.9,Expense - Subscriptions & Software Licences,($159.90),"$6,726.74 "
24/6/20,International transaction fees (crossborder fee AUD1.28 + intl fee AUD2.40),-3.68,Fees,($3.68),"$6,886.64 "
24/6/20,Purchase MICKYS FRUIT VEG P REDFERN NSW,-10.2,Personal - Groceries,($10.20),"$6,890.32 "
23/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-92.91,Personal - Groceries,($92.91),"$6,900.52 "
23/6/20,Purchase APPLE.COMBILL SYDNEY NSW,-22.99,Expense - Subscriptions & Software Licences,($22.99),"$6,993.43 "
23/6/20,Purchase SHEEP 8 PTY LIMITED REDFERN NSW,-26.0,Personal - Alcohol,($26.00),"$7,016.42 "
23/6/20,Purchase Fountain Cafe Alexandria AU,-20.2,Expense - Office Supplies,($20.20),"$7,042.42 "
22/6/20,Purchase PAYPAL *YAFEIDIANZI EB 4029357733 AUS,-15.07,Personal - Health & Wellbeing,($15.07),"$7,062.62 "
22/6/20,Purchase SQ *BLOC145 Redfern AUS,-64.0,Personal - Skye,($64.00),"$7,077.69 "
21/6/20,Purchase IKEA TEMPE TEMPE AU,-32.0,Expense - Office Supplies,($32.00),"$7,141.69 "
21/6/20,Purchase IKEA TEMPE TEMPE AU,-106.91,Expense - Office Supplies,($106.91),"$7,173.69 "
21/6/20,Purchase IKEA TEMPE TEMPE AU,-6.0,Expense - Office Supplies,($6.00),"$7,280.60 "
21/6/20,Purchase 3 Ronin Chippendale AU,-62.2,Personal - Family,($62.20),"$7,286.60 "
21/6/20,Purchase Hunters Corner Redfern AU,-8.6,Personal - Coffee,($8.60),"$7,348.80 "
21/6/20,Purchase SKYBUS COACH SERVICE MELBOURNE AIR,-19.75,Expense - Travel,($19.75),"$7,357.40 "
21/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-34.8,Personal - Groceries,($34.80),"$7,377.15 "
21/6/20,Purchase BLACKSMITHS SURRY HI SURRY HILLS NSW,-8.5,Expense - Meeting,($8.50),"$7,411.95 "
20/6/20,Purchase Blue Brew Cafe Redfern AU,-22.1,Personal - Eating Out,($22.10),"$7,420.45 "
20/6/20,Purchase WOOLWORTHS 1474 REDFERN NS,-6.05,Personal - Groceries,($6.05),"$7,442.55 "
20/6/20,Purchase SOUL ORIGIN SPENCER MELBOURNE VIC,-13.0,Expense - Travel,($13.00),"$7,448.60 "
20/6/20,Purchase MPAY.COM.AU ONE TAXI BELMORE NSW,-30.6,Personal - Groceries,($30.60),"$7,461.60 "
20/6/20,Purchase COCA-COLA AMATIL MELBOURNE AIR,-4.5,Expense - Travel,($4.50),"$7,492.20 "
20/6/20,Purchase MYKI DISCCNTR SCS DSC MELBOURNE,-23.4,Expense - Travel,($23.40),"$7,496.70 "
20/6/20,Purchase AIRPORT RETAIL ENTERPR MASCOT,-6.87,Personal - Groceries,($6.87),"$7,520.10 "
20/6/20,Purchase PAYPAL *GROUPZARAAU 4029357733 AUS,-89.85,Personal - Skye,($89.85),"$7,526.97 "
